time,o,c,h,l,t,rsi,macd,macdSignal,macdHist,adx,Middle bband,Lower bband,Upper bband,Parabolic sar,ema
2021-01-11- 22:20:00,182.26,182.359,182.359,182.26,1610403600,71.13760500358893,-0.001021072747960261,-0.02775499135335297,0.02673391860539271,47.145257643690535,182.26300000000015,182.0688385545112,182.4571614454891,181.3581502719011,182.29172953837244
2021-01-11- 22:40:00,182.48,182.48,182.48,182.48,1610404800,81.70417133952466,0.014225104242655107,-0.019358972234151353,0.03358407647680646,55.01789353095918,182.37966666666682,182.22981933615836,182.5295139971753,181.3965872664631,182.3858647691862
2021-01-11- 22:50:00,182.67,182.65,182.69,182.65,1610405400,89.6723373264479,0.03539651630509866,-0.00840787452630135,0.04380439083140001,65.03022299608719,182.4963333333335,182.25761266857054,182.73505399809645,181.43425552113382,182.5179323845931
2021-01-11- 23:00:00,182.61,182.22,182.61,182.2,1610406000,33.80790739789798,0.018717992062249778,-0.0029827012085911243,0.021700693270840902,52.69632505664075,182.45000000000016,182.09635234079136,182.80364765920896,181.47117041071115,182.36896619229657
2021-01-11- 23:10:00,182.29,182.55,182.6,182.29,1610406600,61.45248694425219,0.02966569860114987,0.003546978753357074,0.026118719847792796,44.473726430343135,182.4733333333335,182.10587963228576,182.84078703438124,181.50734700249694,182.4594830961483
2021-01-11- 23:15:00,182.65,182.6,182.67,182.52,1610406900,64.79417374150943,0.03927519098655807,0.010692621199997273,0.028582569786560798,31.47270445862458,182.45666666666685,182.11948883666182,182.79384449667188,181.54280006244701,182.52974154807413
2021-01-11- 23:20:00,182.7,182.85,182.85,182.69,1610407200,78.66540563255138,0.06135066235177078,0.020824229430351976,0.040526432921418803,33.38350561506103,182.66666666666686,182.40419973723843,182.92913359609528,181.57754406119807,182.68987077403705
2021-01-11- 23:30:00,182.87,183.13,183.13,182.87,1610407800,87.16273295691602,0.09292680462283442,0.03524474446884847,0.057682060153985956,44.82235984512198,182.8600000000002,182.42702578968175,183.29297421031868,181.6115931799741,182.90993538701852
2021-01-11- 23:40:00,183.15,183.06,183.15,183.01,1610408400,75.83600040904767,0.10574437501924194,0.04934467057892716,0.05639970444031478,52.980761366183856,183.01333333333355,182.77537908908275,183.25128757758435,181.64496131637463,182.98496769350925
2021-01-11- 23:50:00,182.8,182.74,182.85,182.74,1610409000,40.10193913403249,0.08868433587775826,0.057212603638693384,0.031471732239064874,40.45912534545652,182.9766666666669,182.63712449103096,183.3162088423028,181.67766209004714,182.86248384675463
2021-01-12- 00:20:00,182.8,182.8,182.8,182.72,1610410800,47.11107143704551,0.07852740974610128,0.06147556486017496,0.017051844885926322,33.59637380742998,182.86666666666687,182.58889777768584,183.1444355556479,181.70970884824618,182.83124192337732
2021-01-12- 00:40:00,183.01,183.19,183.2,182.85,1610412000,75.29619554766795,0.09582490589036752,0.06834543306621348,0.02747947282415404,40.24426055549948,182.9100000000002,182.51100125292294,183.30899874707745,181.74111467128125,183.01062096168866
2021-01-12- 00:45:00,183.25,183.73,183.75,183.25,1610412300,88.27434408102299,0.14085573990357148,0.08284749443368508,0.058008245469886394,53.319752196603055,183.2400000000002,182.4773729613231,184.0026270386773,181.77189237785564,183.37031048084432
2021-01-12- 00:50:00,183.7,183.62,183.83,183.57,1610412600,76.0642339883578,0.15815446861640226,0.09790888927022852,0.060245579346173736,62.77959601100372,183.51333333333355,183.0473338101133,183.9793328565538,181.83123560651995,183.49515524042215
2021-01-12- 00:55:00,183.7,183.62,183.77,183.61,1610412900,76.0642339883578,0.16413211166275232,0.11115353374873328,0.05297857791401904,69.0861585539375,183.6566666666669,183.55295767193732,183.76037566139647,181.91118618225914,183.55757762021108
2021-01-12- 09:00:00,183.3,183.49,183.49,183.24,1610442000,55.610415218544226,0.1535658729270324,0.11963600158439311,0.03392987134263928,50.95112116163127,183.5766666666669,183.45410149105484,183.69923184227898,181.98793873496876,183.52378881010554
2021-01-12- 09:05:00,183.57,183.57,183.57,183.57,1610442300,64.437610518398,0.14683199365899213,0.1250751999993129,0.021756793659679224,34.68479097444712,183.56000000000026,183.45291747711795,183.66708252288257,182.06162118557,183.54689440505277
2021-01-12- 09:10:00,183.52,183.63,183.66,183.52,1610442600,70.93898220448467,0.1414829622207492,0.12835675244360017,0.013126209777149012,30.31556995522385,183.5633333333336,183.4486356628494,183.67803100381778,182.13235633814722,183.58844720252637
2021-01-12- 09:15:00,183.56,183.52,183.56,183.52,1610442900,47.206303871184616,0.12560426760853716,0.12780625547658758,-0.0022019878680504257,27.402755942408334,183.57333333333358,183.48339508257388,183.66327158409328,182.20026208462133,183.55422360126317
2021-01-12- 09:30:00,183.75,183.81,184,183.69,1610443800,77.27344034471139,0.13068908337285734,0.12838282105584153,0.002306262317015806,43.39108464896574,183.65333333333356,183.4142610521339,183.89240561453323,182.26545160123646,183.6821118006316
2021-01-12- 09:40:00,183.89,183.76,183.89,183.76,1610444400,67.35301471994856,0.12614869431610032,0.1279359957078933,-0.001787301391792978,54.049970453337345,183.6966666666669,183.44350883263442,183.9498245006994,182.35217902117463,183.72105590031578
2021-01-12- 10:05:00,184.2,184,184.2,184,1610445900,83.03472559063306,0.13525805555855186,0.12940040767802502,0.0058576478805268395,65.43300327899179,183.8566666666669,183.64989250091247,184.06344083242135,182.4345700701159,183.8605279501579
2021-01-12- 10:15:00,184.03,183.92,184.03,183.92,1610446500,66.95426123477543,0.13115881276740993,0.129752088695902,0.0014067240715079365,62.4946336489879,183.89333333333357,183.6937782725443,184.09288839412284,182.54049586590895,183.89026397507894
